prop,verified,time_s
0,0,978.8
1,1,3.8
2,0,1401.4
3,1,232.1
4,0,1139.6
5,0,1269.1
6,0,1205.1
7,0,1179.8
8,0,1077.5
9,0,1027.1
10,1,3.6
11,0,670.7
12,0,1126.8
13,1,3.7
14,0,1045.4
15,0,1147.9
16,0,614.8
17,1,3.8
18,0,1208.2
19,0,1205.7
20,0,1129.8
21,0,898.3
22,1,141.2
23,1,3.6
24,0,1312.9
25,1,3.6
26,1,352.0
27,1,138.8
28,1,3.7
29,0,1248.9
30,1,3.8
31,0,1399.7
32,1,3.9
33,0,1122.6
34,1,529.1
35,1,3.7
36,0,970.6
37,0,1311.4
38,0,1327.4
39,0,1218.4
40,0,1434.2
41,0,1247.7
42,0,940.7
43,0,1316.7
44,1,113.0
45,0,1320.4
46,0,1025.8
47,0,757.4
48,1,3.6
49,1,199.7
50,0,764.7
51,1,3.7
52,1,3.7
53,0,1361.1
54,1,3.6
55,1,4.0
56,1,3.8
57,0,1370.7
58,0,648.7
59,0,1391.9
60,1,3.6
61,0,1084.3
62,0,1445.3
63,0,972.3
64,1,249.4
65,0,1247.4
66,0,1131.0
67,1,3.7
68,1,3.5
69,1,3.8
70,1,3.6
71,0,980.8
72,0,1035.0
73,0,1312.4
74,1,80.4
75,1,4.0
76,1,433.9
77,0,1235.0
78,0,1162.5
