prop,verified,time_s
0,1,3.5
1,0,657.5
2,0,1729.6
3,1,4.0
4,1,4.6
5,0,1399.5
6,0,834.1
7,0,1258.6
8,0,1051.9
9,0,829.3
10,1,3.2
11,0,997.0
12,1,3.4
13,1,3.0
14,1,746.5
15,1,90.1
16,1,3.6
17,1,3.2
18,0,1134.2
19,1,3.3
20,0,779.7
21,1,3.8
22,1,3.2
23,1,3.1
24,0,1054.0
25,1,3.1
26,1,3.6
27,1,3.1
28,1,3.0
29,0,1111.8
30,1,3.1
31,0,1095.0
32,1,3.2
33,1,3.7
34,1,102.9
35,1,3.4
36,0,1055.2
37,0,1023.3
38,0,1325.0
39,1,3.8
40,1,2.9
41,0,1285.9
42,1,208.9
43,1,347.8
44,0,840.3
45,0,264.3
46,1,3.0
47,1,3.1
48,1,3.3
49,1,3.4
