prop,verified,time_s
0,1,5.0
1,1,4.9
2,0,6.8
3,1,4.4
4,0,5.2
5,0,6.0
6,0,5.1
7,0,6.4
8,0,6.0
9,0,5.5
10,1,4.3
11,0,6.2
12,0,6.2
13,1,4.3
14,1,5.0
15,0,6.3
16,1,4.9
17,1,4.5
18,0,6.5
19,0,5.3
20,0,6.2
21,1,5.1
22,1,5.0
23,1,4.7
24,0,5.8
25,1,4.2
26,1,5.1
27,1,4.6
28,1,4.4
29,0,6.3
30,0,5.3
31,0,6.8
32,1,4.6
33,0,6.1
34,1,5.1
35,1,4.9
36,1,5.0
37,0,6.0
38,1,5.4
39,0,7.0
40,0,5.9
41,1,4.5
42,0,6.5
43,0,6.1
44,0,6.3
45,0,6.4
46,0,6.3
47,1,4.1
48,1,4.6
49,1,4.9
50,0,5.6
51,1,5.4
52,0,6.6
53,1,4.5
54,1,4.6
55,1,4.5
56,0,6.8
57,1,5.1
58,0,6.4
59,1,4.4
60,0,6.0
61,0,7.0
62,0,6.7
63,0,6.1
64,0,7.1
65,0,6.4
66,1,4.5
67,1,4.2
68,1,4.3
69,1,4.5
70,1,4.0
71,0,5.9
72,0,5.6
73,0,6.1
74,1,5.0
75,1,5.1
76,0,6.0
77,0,6.7
78,1,4.8
79,0,5.5
80,1,4.9
81,1,4.3
82,1,4.8
83,0,6.2
84,1,4.2
85,1,4.4
86,1,4.6
87,1,4.3
88,0,6.7
89,1,4.3
90,1,4.6
91,0,7.0
92,1,4.7
93,1,5.4
94,1,4.6
95,0,7.0
96,0,5.5
97,0,5.0
98,1,4.3
99,0,6.4
