prop,verified,time_s
0,1,1.8
1,1,1.9
2,0,1077.9
3,1,1.8
4,1,688.4
5,0,3402.0
6,0,2222.9
7,0,1016.3
8,0,1019.1
9,0,1525.8
10,1,1.9
11,1,1480.2
12,1,193.5
13,1,1.7
14,1,2.1
15,0,976.5
16,1,3124.4
17,1,1.7
18,1,2.2
19,1,354.5
20,0,4181.1
21,1,2.0
22,1,2.0
23,1,1.9
24,0,1075.0
25,1,1.7
26,1,2.1
27,1,2.0
28,1,1.7
29,0,3329.9
30,1,1.9
31,0,1019.3
32,1,1.7
33,0,3713.5
34,1,2.0
35,1,1.8
36,1,2.0
37,1,2.1
38,0,965.7
39,1,1375.1
40,0,1095.2
41,1,2.4
42,0,3255.6
43,1,2.3
44,1,177.3
45,0,995.3
46,0,2971.0
47,0,3993.4
48,1,1.8
49,1,169.7
